Consequent	Antecedent 	Support %	Confidence %
diabetesMed	glipizide = Steady	11.158933238999273	100.0
diabetesMed	metformin = Steady	18.027632018552364	100.0
diabetesMed	glipizide = Steady and tolazamide = No	11.156967946072362	100.0
diabetesMed	metformin = Steady and readmitted = NO	10.214609987618655	100.0
diabetesMed	metformin = Steady and discharge_disposition_id = 1	11.31713931961559	100.0
diabetesMed	metformin = Steady and number_inpatient = 0	13.03284004480868	100.0
diabetesMed	metformin = Steady and number_outpatient = 0	15.072814102942045	100.0
diabetesMed	metformin = Steady and glipizide = No	14.873336870860602	100.0
diabetesMed	metformin = Steady and number_emergency = 0	16.15765579859678	100.0
diabetesMed	metformin = Steady and tolazamide = No	18.01977084684472	100.0
tolazamide = No	age = [60-70) and number_diagnoses = 9	10.948646895819822	100.0
tolazamide = No	admission_source_id = 1 and number_diagnoses = 9	12.379380146610853	100.0
diabetesMed	metformin = Steady and readmitted = NO and tolazamide = No	10.207731462374467	100.0
diabetesMed	metformin = Steady and discharge_disposition_id = 1 and number_emergency = 0	10.148772674567144	100.0
diabetesMed	metformin = Steady and discharge_disposition_id = 1 and tolazamide = No	11.313208733761767	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and number_outpatient = 0	11.190377925829845	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and glipizide = No	10.74916966373838	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and number_emergency = 0	12.135683823673919	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and tolazamide = No	13.026944166027945	100.0
diabetesMed	metformin = Steady and number_outpatient = 0 and glipizide = No	12.457009217223828	100.0
diabetesMed	metformin = Steady and number_outpatient = 0 and number_emergency = 0	13.852367195330464	100.0
diabetesMed	metformin = Steady and number_outpatient = 0 and tolazamide = No	15.064952931234401	100.0
diabetesMed	metformin = Steady and glipizide = No and number_emergency = 0	13.330581923235657	100.0
diabetesMed	metformin = Steady and glipizide = No and tolazamide = No	14.866458345616415	100.0
diabetesMed	metformin = Steady and number_emergency = 0 and tolazamide = No	16.150777273352592	100.0
tolazamide = No	age = [70-80) and number_diagnoses = 9 and metformin = No	11.255232592417899	100.0
tolazamide = No	admission_source_id = 1 and number_diagnoses = 9 and glipizide = No	10.89361869386632	100.0
tolazamide = No	admission_source_id = 1 and number_diagnoses = 9 and number_emergency = 0	11.15107206729163	100.0
tolazamide = No	number_diagnoses = 9 and gender = Female and readmitted = NO	12.681052610891651	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change	12.681052610891651	100.0
diabetesMed	metformin = Steady and discharge_disposition_id = 1 and number_emergency = 0 and tolazamide = No	10.144842088713322	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and number_outpatient = 0 and number_emergency = 0	10.578189179097144	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and number_outpatient = 0 and tolazamide = No	11.184482047049112	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and glipizide = No and number_emergency = 0	10.013167462610301	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and glipizide = No and tolazamide = No	10.743273784957648	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and number_emergency = 0 and tolazamide = No	12.130770591356642	100.0
diabetesMed	metformin = Steady and number_outpatient = 0 and glipizide = No and number_emergency = 0	11.45077923864552	100.0
diabetesMed	metformin = Steady and number_outpatient = 0 and glipizide = No and tolazamide = No	12.45013069197964	100.0
diabetesMed	metformin = Steady and number_outpatient = 0 and number_emergency = 0 and tolazamide = No	13.845488670086276	100.0
diabetesMed	metformin = Steady and glipizide = No and number_emergency = 0 and tolazamide = No	13.324686044454925	100.0
tolazamide = No	number_diagnoses = 9 and gender = Female and readmitted = NO and metformin = No	10.488768350922705	100.0
tolazamide = No	number_diagnoses = 9 and gender = Female and readmitted = NO and number_outpatient = 0	10.63223473458719	100.0
tolazamide = No	number_diagnoses = 9 and gender = Female and readmitted = NO and glipizide = No	11.343670774128883	100.0
tolazamide = No	number_diagnoses = 9 and gender = Female and readmitted = NO and number_emergency = 0	11.366271642788357	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and metformin = No	11.897883379517717	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and number_outpatient = 0	10.715759683980899	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and glipizide = No	12.029558005620737	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and number_emergency = 0	11.58245386474854	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and number_outpatient = 0 and number_emergency = 0 and tolazamide = No	10.573275946779868	100.0
diabetesMed	metformin = Steady and number_inpatient = 0 and glipizide = No and number_emergency = 0 and tolazamide = No	10.008254230293025	100.0
diabetesMed	metformin = Steady and number_outpatient = 0 and glipizide = No and number_emergency = 0 and tolazamide = No	11.444883359864788	100.0
tolazamide = No	number_diagnoses = 9 and gender = Female and readmitted = NO and glipizide = No and number_emergency = 0	10.171373543226618	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and metformin = No and number_outpatient = 0	10.082935361515634	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and metformin = No and glipizide = No	11.246388774246801	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and metformin = No and number_emergency = 0	10.872983118133758	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and number_outpatient = 0 and glipizide = No	10.20085293713028	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and number_outpatient = 0 and number_emergency = 0	10.003340997975748	100.0
tolazamide = No	number_diagnoses = 9 and readmitted = NO and change and glipizide = No and number_emergency = 0	10.99777921899259	100.0
tolazamide = No	number_diagnoses = 9 and gender = Female	26.17278855413399	99.99624554158063
tolazamide = No	number_diagnoses = 9 and gender = Female and glipizide = No	23.22681445669477	99.99576934467149
tolazamide = No	number_diagnoses = 9 and gender = Female and number_emergency = 0	22.26185562958159	99.9955859633635
tolazamide = No	number_diagnoses = 9 and gender = Female and metformin = No	21.78527209480573	99.99548940009021
tolazamide = No	number_diagnoses = 9 and gender = Female and number_outpatient = 0	20.8301397323271	99.99528257382771
tolazamide = No	number_diagnoses = 9 and gender = Female and diabetesMed	20.26904860169408	99.99515198526203
tolazamide = No	number_diagnoses = 9 and gender = Female and glipizide = No and number_emergency = 0	19.740384804355088	99.99502215142616
tolazamide = No	number_diagnoses = 9 and gender = Female and metformin = No and glipizide = No	19.56547373386003	99.99497765054493
tolazamide = No	number_diagnoses = 9 and gender = Female and metformin = No and number_emergency = 0	18.53664288662225	99.99469889737065
tolazamide = No	number_diagnoses = 9 and gender = Female and number_outpatient = 0 and glipizide = No	18.52190318967042	99.9946946787628
